road_id,risk_score,predicted_disruption
way/1135659902,32.24,0
way/1135659903,5.21,0
way/1135659904,32.24,0
way/1135663704,20.58,0
way/1135663710,5.21,0
way/1135670522,75.58,1
way/1135670523,75.58,1
way/1135672923,49.25,1
way/1135672924,49.25,1
way/1135672925,49.25,1
way/1135684882,5.21,0
way/1135684883,5.21,0
way/1135684884,5.21,0
way/1135704871,5.21,0
way/1135704872,5.21,0
way/1135713424,84.0,1
way/1135713425,67.86,1
way/1135713426,92.51,1
way/1135713427,84.0,1
way/1135727015,27.9,0
way/1135727016,27.9,0
way/1135727017,6.92,0
way/1136955005,21.88,0
way/1137202314,27.57,0
way/1137494323,5.21,0
way/1137494324,43.37,1
way/1137494329,29.84,0
way/1137494330,28.01,0
way/1137494331,41.37,1
way/1137497049,29.59,0
way/1137497050,5.21,0
way/1137545567,37.51,1
way/1138267124,43.3,1
way/1138267125,41.37,1
way/1138566511,27.57,0
way/1138566512,37.51,1
way/1138573688,29.86,0
way/1138573689,31.76,0
way/1138626660,34.41,0
way/1138626661,27.35,0
way/1138647251,62.53,1
way/1138647252,32.33,0
way/1138655104,23.86,0
way/1138655105,31.96,0
way/1138665289,5.21,0
way/1138669127,24.78,0
way/1138669128,31.76,0
way/1138672177,5.21,0
way/1138687245,27.57,0
way/1138688164,5.21,0
way/1138688165,5.21,0
way/1138688166,5.21,0
way/1138688167,5.21,0
way/1138688168,5.21,0
way/1138688169,5.21,0
way/1139102828,5.21,0
way/1139102829,24.57,0
way/1139107222,5.21,0
way/1139112798,5.21,0
way/1139112799,5.21,0
way/1139112800,5.21,0
way/1139112801,24.78,0
way/1139115768,27.57,0
way/1139115769,52.06,1
way/1139115770,27.57,0
way/1139115771,37.51,1
way/1139117559,38.02,1
way/1139117560,30.58,0
way/1139129310,35.12,1
way/1139129311,29.83,0
way/1140684457,32.24,0
way/1140684458,34.16,0
way/1140684459,34.16,0
way/1140705687,5.21,0
way/1140709809,5.21,0
way/1140709810,5.21,0
way/1140709811,5.21,0
way/1140714886,6.92,0
way/1140714887,6.92,0
way/1140718397,26.6,0
way/1140719455,6.92,0
way/1140719456,6.92,0
way/1140719457,6.92,0
